City,State,MGrid
"""AVON",AL,EM71je
"""ASHLAND",AL,EM73cg
"""BLUFF SPRING",AL,EM73cg
"""CARR MILL",AL,EM73cg
"""GIBSONVILLE",AL,EM73cg
"""HARKINS CROSSROADS",AL,EM73cg
"""IDAHO",AL,EM73cg
"""ASHVILLE",AL,EM63ut
"""ATHENS",AL,EM64ms
"""ATMORE",AL,EM61ga
"""MC CULLOUGH",AL,EM61ga
"""MCCULLOUGH",AL,EM61ga
"""CANOE",AL,EM61ga
"""ATTALLA",AL,EM64wa
"""IVALEE",AL,EM64wa
"""REECE CITY",AL,EM64wa
"""RIDGEVILLE",AL,EM64wa
"""ROCKLEDGE",AL,EM64wa
"""AUBURN",AL,EM72go
"""WAVERLY",AL,EM72go
"""AUBURN UNIVERSITY",AL,EM72go
"""AUBURN UNIV",AL,EM72go
"""AUBURN UNVRSTY",AL,EM72go
"""AUTAUGAVILLE",AL,EM62qk
"""AXIS",AL,EM50xw
"""LEMOYNE",AL,EM50xw
"""BAILEYTON",AL,EM64qg
"""BANKS",AL,EM71ct
"""PEROTE",AL,EM71dx
"""BANKS",AL,EM71dx
"""BANKSTON",AL,EM63dq
"""BAY MINETTE",AL,EM60cv
"""BROMLEY",AL,EM60cv
"""PINEGROVE",AL,EM60cv
"""BAYOU LA BATRE",AL,EM50vj
"""BAYOU LABATRE",AL,EM50vj
"""BEAR CREEK",AL,EM64dg
"""BEATRICE",AL,EM61jr
"""BUENA VISTA",AL,EM61jr
"""BEAVERTON",AL,EM53xw
"""BELK",AL,EM63ap
"""BELLE MINA",AL,EM64op
"""BELLWOOD",AL,EM71ce
"""BERRY",AL,EM63ep
"""BESSEMER",AL,EM63mi
"""BRIGHTON",AL,EM63mi
"""HELENA",AL,EM63mi
"""BESS",AL,EM63mi
"""HUEYTOWN",AL,EM63mi
"""BESSEMER",AL,EM63mk
"""HUEYTOWN",AL,EM63mk
"""CONCORD",AL,EM63mk
"""HOPEWELL",AL,EM63mk
"""BILLINGSLEY",AL,EM62pp
"""BIRMINGHAM",AL,EM63om
"""SOUTH HIGHLANDS",AL,EM63om
"""HOMEWOOD",AL,EM63om
"""MOUNTAIN BRK",AL,EM63om
"""VESTAVIA",AL,EM63om
"""IRONDALE",AL,EM63om
"""JEFFERSON PARK",AL,EM63om
"""LIBERTY HIGHLANDS",AL,EM63om
"""OVERTON",AL,EM63om
"""ROSE HILL",AL,EM63om
"""RUFFNER",AL,EM63om
"""WENONAH",AL,EM63om
"""CRESTLINE HEIGHTS",AL,EM63om
"""CRESTLINE HTS",AL,EM63om
"""CRESTLINE",AL,EM63om
"""FORESTDALE",AL,EM63om
"""CENTER POINT",AL,EM63om
"""HOOVER",AL,EM63om
"""VESTAVIA HILLS",AL,EM63om
"""VESTAVIA HLS",AL,EM63om
"""TARRANT",AL,EM63om
"""ENSLEY",AL,EM63om
"""HOMEWD",AL,EM63om
"""CENTERPOINT",AL,EM63om
"""MOUNTAIN BROOK",AL,EM63om
"""ENGLISH VILLAGE",AL,EM63om
"""BLUFF PARK",AL,EM63om
"""MIDFIELD",AL,EM63om
"""BHAM",AL,EM63om
"""SAMFORD UNIVERSITY",AL,EM63om
"""GRAYSON VALLEY",AL,EM63om
"""HUFFMAN",AL,EM63om
"""ROEBUCK PLAZA",AL,EM63om
"""TRUSSVILLE",AL,EM63om
"""MEADOWBROOK",AL,EM63om
"""SHOAL CREEK",AL,EM63om
"""CAHABA HEIGHTS",AL,EM63om
"""CAHABA HTS",AL,EM63om
"""MTN BROOK",AL,EM63om
"""RIVERCHASE",AL,EM63om
"""REGIONS BANK",AL,EM63om
"""UNIV OF ALABAMA HOSPITAL",AL,EM63om
"""BIRMINGHAM SOUTHERN COLLEGE",AL,EM63om
